fips,WinMargin
19091,33.85%
32013,82.96%
28053,-63.81%
47085,36.80%
48231,73.20%
34019,22.29%
42061,46.35%
18069,60.20%
26063,39.63%
39077,41.33%
46067,55.56%
48233,89.66%
37095,-34.98%
46069,33.33%
19093,45.03%
06025,-49.33%
05063,57.15%
12061,43.34%
42063,21.91%
26065,-22.82%
06027,-0.44%
26067,28.74%
26069,22.24%
19095,19.22%
55049,-15.32%
37097,42.77%
48235,81.37%
26071,24.41%
29093,34.46%
49021,63.44%
55051,21.66%
17075,63.69%
13155,57.98%
26073,-1.31%
53029,93.74%
51093,28.59%
28055,-8.33%
28057,77.11%
05065,46.05%
48237,86.52%
01071,70.45%
05067,26.98%
08057,-100.00%
12063,2.69%
13157,73.65%
19097,1.53%
17077,-14.01%
18071,49.93%
21109,68.79%
26075,23.74%
29095,-13.54%
28059,52.03%
37099,-11.77%
39079,54.69%
40065,33.83%
41029,-7.09%
46071,24.48%
47087,42.68%
48239,76.18%
55053,2.74%
54035,14.90%
51095,31.22%
13159,52.54%
19099,12.68%
17079,46.94%
18073,48.96%
29097,53.60%
28061,1.38%
45053,8.14%
48241,65.78%
18075,47.85%
13161,63.17%
48243,29.17%
01073,6.17%
05069,-52.94%
08059,-100.00%
12065,-22.85%
13163,-0.41%
19101,-2.92%
16051,95.51%
17081,33.57%
18077,23.52%
21111,-53.12%
29099,22.46%
28063,-75.93%
30043,14.84%
31095,77.19%
36045,28.53%
39081,16.34%
40067,-18.13%
41031,19.77%
42065,47.49%
47089,73.55%
48245,-6.04%
53031,88.37%
55055,17.86%
54037,-11.41%
13165,39.80%
18079,48.37%
46073,-3.21%
16053,88.76%
17083,33.88%
21113,-0.34%
48247,-95.38%
48249,-50.13%
05071,33.59%
13167,47.32%
19103,-12.03%
17087,58.99%
18081,54.66%
21115,24.37%
29101,35.74%
31097,79.54%
47091,71.08%
48251,72.87%
56019,-100.00%
37101,25.47%
40069,-12.18%
13169,40.76%
19105,6.98%
28067,57.41%
37103,-13.38%
46075,64.46%
48253,84.47%
41033,19.46%
49023,84.46%
30045,58.37%
55057,21.66%
42067,49.66%
26077,-3.65%
26079,35.36%
54039,-19.76%
17089,3.20%
49025,41.58%
17091,15.35%
48255,-0.38%
15007,-50.27%
48257,68.30%
40071,34.25%
31099,84.58%
31101,91.12%
28069,-10.24%
17093,12.54%
48259,78.93%
48261,-68.14%
55059,0.47%
10001,-0.13%
24029,-4.93%
26081,15.68%
48263,63.77%
21117,-15.68%
19107,27.27%
06029,12.26%
48265,74.72%
45055,37.75%
55061,21.98%
26083,13.54%
31103,93.02%
31105,92.14%
48267,89.17%
51099,43.34%
51101,39.59%
51097,15.66%
48269,94.64%
53033,79.59%
40073,57.73%
06031,12.82%
46077,27.22%
48271,21.77%
08061,-100.00%
40075,-4.26%
08063,-100.00%
53035,92.15%
53037,93.21%
41035,38.12%
48273,-4.39%
53039,95.37%
21119,-90.03%
17095,3.74%
18083,34.32%
21121,38.55%
23013,-100.00%
29103,50.81%
31107,91.62%
39083,53.51%
47093,42.21%
48275,77.95%
16055,82.81%
18085,66.84%
19109,23.55%
55063,-10.83%
04012,37.27%
08067,-100.00%
48283,-41.19%
29105,63.62%
18087,65.72%
18091,4.95%
21123,-35.47%
17099,10.24%
42069,-32.80%
05073,12.61%
12067,13.53%
29107,39.81%
28071,28.22%
55065,6.15%
06033,-30.39%
08065,-100.00%
12069,36.25%
17097,-6.03%
18089,-27.04%
26085,17.77%
30047,8.81%
39085,30.97%
41037,56.27%
46079,0.32%
47095,42.33%
01075,69.48%
13171,47.47%
28073,69.42%
48277,75.80%
48279,80.41%
48281,75.18%
31109,40.35%
42071,34.56%
45057,46.28%
51103,30.66%
32015,71.78%
41039,-37.03%
55067,27.35%
13173,49.33%
26087,31.91%
56021,55.65%
08069,-100.00%
08071,-100.00%
06035,32.53%
16057,33.28%
40077,-47.65%
01077,52.12%
28075,44.11%
47097,29.91%
21125,49.58%
13175,42.85%
45059,43.97%
01079,45.82%
05075,-15.61%
17101,49.81%
18093,56.01%
21127,-7.66%
29109,61.86%
28077,24.01%
39087,43.60%
42073,7.39%
46081,22.94%
47099,43.71%
35025,46.18%
28079,17.55%
42075,44.99%
01081,36.23%
05077,-23.81%
12071,40.70%
13177,62.82%
19111,-12.74%
17103,29.26%
21129,7.54%
28081,54.51%
37105,0.61%
45061,-22.88%
48287,70.57%
51105,62.89%
26089,8.92%
28083,-19.47%
42077,-1.00%
16059,91.08%
26091,28.35%
37107,-15.95%
12073,-23.39%
48289,81.31%
21131,75.71%
21133,-57.86%
12075,36.39%
30049,-16.05%
16061,89.03%
21135,52.49%
29111,53.23%
36049,44.26%
47101,54.59%
53041,96.04%
54041,12.45%
45063,58.24%
12077,-33.96%
13179,-9.53%
30051,50.89%
48291,77.71%
39089,46.20%
01083,62.46%
48293,65.59%
05079,27.54%
08073,-100.00%
13181,44.89%
16063,89.07%
21137,-9.94%
23015,-100.00%
29113,41.89%
28085,47.97%
30053,38.95%
37109,44.96%
31111,84.15%
35027,42.49%
32017,63.79%
40081,27.79%
41041,-29.64%
46083,5.17%
47103,67.37%
53043,96.71%
55069,18.79%
54043,-29.69%
56023,-100.00%
19113,-2.02%
29115,41.96%
41043,6.90%
48295,93.52%
09005,5.75%
05081,5.53%
48297,76.69%
17105,64.22%
21139,-53.03%
26093,37.15%
29117,51.55%
36051,24.24%
48299,75.83%
05083,44.59%
08075,-100.00%
17107,54.94%
21141,-45.02%
31113,97.51%
39091,67.00%
40083,44.31%
54045,-44.73%
13183,50.23%
05085,64.38%
39093,8.08%
35028,-35.93%
06037,-61.62%
47105,71.84%
51107,17.47%
19115,28.83%
51109,34.59%
31115,85.03%
40085,-23.17%
48301,56.76%
01085,-66.28%
13185,34.32%
28087,22.44%
48303,60.76%
19117,32.43%
39095,-4.82%
26095,30.97%
13187,68.46%
35029,-9.61%
51111,19.95%
42079,-3.19%
42081,41.17%
46085,43.21%
48305,96.30%
19119,69.53%
21143,-42.20%
32019,89.02%
26097,24.87%
26099,11.50%
01087,-73.55%
13193,-14.50%
17115,19.30%
29121,54.36%
37113,35.01%
47111,70.96%
17117,6.27%
06039,8.46%
01089,38.45%
05087,-11.52%
12079,-17.98%
13195,64.79%
19121,38.34%
16065,92.65%
17119,1.76%
18095,22.16%
21151,-24.70%
29123,47.67%
28089,33.15%
30057,45.11%
37115,-15.87%
31119,82.29%
36053,19.82%
39097,57.48%
47113,37.58%
48313,74.72%
51113,40.75%
21153,-37.57%
19123,47.40%
39099,-2.54%
40093,67.84%
41045,48.58%
12081,31.07%
26101,12.65%
55071,20.09%
55073,19.54%
01091,-63.48%
04013,7.88%
29125,51.37%
06041,-66.94%
55075,26.09%
01093,77.36%
05089,65.27%
12083,32.92%
13197,22.23%
19125,37.68%
17121,27.86%
18097,-8.93%
21155,-67.64%
29127,50.33%
28091,45.09%
39101,41.09%
41047,-5.29%
45067,-15.92%
47115,36.96%
48315,50.88%
54049,-30.04%
06043,8.65%
45069,-15.36%
26103,-8.90%
55077,20.14%
01095,77.31%
19127,12.73%
17123,40.22%
18099,51.02%
21157,-41.89%
28093,-0.86%
40095,1.64%
46091,-26.49%
47117,51.08%
54051,-5.42%
12085,48.09%
18101,42.65%
21159,53.21%
37117,-32.15%
48317,89.09%
17125,21.69%
21161,-38.24%
26105,23.47%
48319,79.91%
53045,93.80%
54053,0.75%
17127,48.11%
48321,50.03%
51115,44.07%
15009,-59.44%
47119,51.83%
48323,-86.51%
40097,7.30%
40087,33.30%
30055,58.09%
46087,18.30%
45065,23.08%
21145,-32.61%
21147,55.85%
48307,87.07%
40089,-20.70%
29119,64.52%
17109,24.96%
37111,33.37%
54047,-46.97%
13189,35.25%
17111,21.76%
13191,31.67%
40091,-21.96%
42083,45.91%
35031,-75.27%
17113,19.50%
21149,-40.05%
48309,57.15%
47107,66.86%
48311,97.47%
47109,59.02%
31117,95.24%
46089,68.84%
21163,-35.89%
46093,43.68%
30059,61.38%
37119,-15.24%
51117,20.74%
26107,29.13%
39103,43.45%
48325,65.94%
39105,51.20%
47121,54.90%
46095,-8.15%
17129,50.86%
48327,86.80%
06045,-54.63%
21165,-50.95%
26109,24.39%
55078,-52.11%
06047,-20.63%
17131,18.07%
21167,-26.07%
29129,69.48%
34021,-57.99%
39107,68.75%
42085,14.28%
54055,7.94%
13199,27.09%
31121,90.61%
33013,3.42%
08077,-100.00%
21169,-21.36%
18103,55.77%
39109,63.38%
12086,0.56%
34023,-51.81%
51119,37.85%
26111,27.57%
48329,78.87%
42087,49.01%
48331,65.36%
49027,96.37%
05091,60.40%
13201,64.33%
