fips,3rd Party Effect
36063,0.0123
36065,0.0009
36067,0.0002
36069,0.0016
36071,0.009
36073,0.0095
36075,0.0144
36077,0.0007
36079,0.0057
36081,0.0879
36083,0.0175
36087,0.0195
36091,0.0059
36093,0.01
36095,0.0005
36097,0
36099,0.0008
36101,0.0195
36103,0.0065
36105,0.0321
36107,0.013
36109,0.1096
36111,0.0887
36113,0.0079
36115,0.0057
36117,0.0094
36119,0.0121
36121,0.0082
36123,0.0183
37001,0.0209
37003,0.0778
37005,0.0049
37007,0.0058
37009,0.0272
37011,0.1381
37013,0.0271
37015,0.0033
37017,0.0052
37019,0.03
37021,0.0289
37023,0.0193
37025,0.0352
37027,0.0671
37029,0.028
37031,0.0352
37033,0.0002
37035,0.0669
37037,0
37039,0.046
37041,0.0172
37043,0.0723
37045,0.0178
37047,0.0055
37049,0.0276
37051,0
37053,0.0408
37055,0.0002
37057,0.075
37059,0.1332
37061,0.0101
37063,0.0332
37065,0.0045
37067,0.014
37069,0.0082
37071,0.0386
37073,0.0001
37075,0.0406
37077,0
37079,0.0001
37081,0.0021
37083,0.012
37085,0.0233
37087,0.0015
37089,0.0726
37091,0.0181
37093,0.0053
37095,0.0249
37097,0.0597
37099,0.0054
37101,0.0388
37103,0
37105,0.0067
37107,0.0029
37109,0.0686
37111,0.0398
37113,0.0423
37115,0.0138
37117,0.0001
37119,0.0035
37121,0.1021
37123,0.0052
37125,0.0833
37127,0.0107
37129,0.0027
37131,0.0145
37133,0.0439
37135,0.0551
37137,0.0045
37139,0.0024
37141,0.0167
37143,0.0193
37145,0
37147,0.0028
37149,0.0146
37151,0.107
37153,0.0043
37155,0.0371
37157,0.0255
37159,0.0501
37161,0.0193
37163,0.0242
37165,0.0015
37167,0.0492
37169,0.0729
37171,0.0431
37173,0.0023
37175,0.0328
37177,0.0017
37179,0.086
37181,0.0158
37183,0.0043
37185,0.0136
37187,0.0048
37189,0.0052
37191,0.0159
37193,0.0817
37195,0.0071
37197,0.1316
37199,0.0016
39001,0.0884
39003,0.1467
39005,0.1779
39007,0.0184
39009,0.0216
39011,0.2067
39013,0.013
39015,0.0847
39017,0.1018
39019,0.0627
39021,0.132
39023,0.0637
39025,0.1282
39027,0.1385
39029,0.0552
39031,0.0803
39033,0.1421
39035,0.0039
39037,0.169
39039,0.1404
39041,0.2397
39043,0.0217
39045,0.1475
39047,0.1648
39049,0.0309
39051,0.158
39053,0.0757
39055,0.1443
